"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
66,255,1,2,45,5,"Medium"
122,119,1,2,2,6,"Medium"
31,452,2,1,2,2,"Low"
408,40,3,1,30,2,"High"
106,78,23,2,1,5,"Medium"
433,115,1,2,30,6,"High"
312,54,2,1,2,2,"Medium"
378,216,5,1,2,3,"High"
262,54,3,2,7,5,"Medium"
211,6,1,2,5,5,"Medium"
249,134,4,1,7,2,"Medium"
287,108,4,1,7,2,"Medium"
196,312,2,3,1,7,"Medium"
18,161,1,1,6,4,"Low"
375,273,4,1,1,2,"High"
93,14,1,4,30,8,"Medium"
428,35,4,2,2,3,"High"
189,66,3,2,2,6,"Medium"
378,4,1,1,30,2,"High"
130,169,4,1,2,4,"Medium"
48,208,1,1,2,2,"Low"
222,30,4,4,30,10,"Medium"
148,366,3,2,3,6,"Medium"
433,159,1,1,2,4,"High"
52,36,1,1,2,2,"Low"
40,124,12,1,1,2,"Low"
351,70,1,1,1,2,"High"
406,126,1,1,30,2,"High"
366,336,3,1,2,2,"High"
374,10,1,2,3,5,"High"
395,130,1,1,1,6,"High"
26,73,12,1,1,3,"Low"
369,22,4,1,2,1,"High"
95,156,2,1,2,3,"Medium"
19,63,2,1,3,2,"Low"
366,123,3,1,3,1,"High"
54,41,12,1,1,3,"Low"
329,118,1,1,1,1,"Medium"
113,60,1,1,2,2,"Medium"
390,110,3,1,2,2,"High"
54,23,12,1,1,2,"Low"
73,11,1,2,10,4,"Medium"
312,121,3,1,30,2,"Medium"
412,317,4,2,1,4,"High"
420,40,2,1,31,2,"High"
421,217,1,1,2,4,"High"
92,76,1,2,3,4,"Medium"
140,74,7,2,1,6,"Medium"
425,172,1,1,2,4,"High"
219,14,7,3,3,7,"Medium"
410,150,2,1,2,2,"High"
42,98,1,1,2,2,"Low"
186,709,7,3,1,9,"Medium"
88,59,1,3,31,6,"Medium"
33,179,10,1,1,4,"Low"
312,379,2,1,1,2,"Medium"
404,28,3,1,30,2,"High"
409,150,1,1,3,4,"High"
151,88,2,2,2,4,"Medium"
64,288,2,2,2,5,"Medium"
377,136,2,1,3,2,"High"
43,834,1,2,1,4,"Low"
23,60,17,1,1,3,"Low"
53,6,2,1,30,4,"Low"
14,141,4,1,1,2,"Low"
410,480,5,1,1,3,"High"
59,499,2,2,1,4,"Low"
428,43,1,1,30,2,"High"
18,194,1,1,2,2,"Low"
70,628,9,2,1,5,"Medium"
18,14,1,1,31,2,"Low"
60,385,2,1,2,3,"Low"
115,12,11,1,31,1,"Medium"
420,205,1,1,2,2,"High"
18,75,4,2,5,6,"Low"
401,106,2,1,4,2,"High"
15,2,2,3,31,5,"Low"
403,209,1,1,2,2,"High"
89,24,3,2,3,4,"Medium"
312,433,9,2,30,3,"Medium"
77,189,1,1,1,2,"Medium"
38,62,5,1,4,2,"Low"
410,575,6,1,1,2,"High"
395,83,1,1,2,2,"High"
13,153,2,1,2,2,"Low"
420,388,2,1,1,4,"High"
29,522,3,1,2,4,"Low"
58,94,1,1,2,2,"Low"
48,194,2,1,2,4,"Low"
28,30,1,4,30,4,"Low"
13,19,1,1,30,6,"Low"
112,36,1,2,3,4,"Medium"
88,72,2,2,4,5,"Medium"
366,15,32,1,30,3,"High"
154,27,7,2,5,4,"Medium"
29,192,2,1,2,4,"Low"
18,13,2,3,30,5,"Low"
433,276,2,1,2,4,"High"
49,399,2,2,2,3,"Low"
55,183,2,2,2,5,"Low"
334,80,1,1,2,3,"Medium"
353,17,32,1,30,3,"High"
15,167,1,1,1,2,"Low"
417,421,1,1,2,4,"High"
317,1,17,1,2,2,"Medium"
60,9,17,2,30,5,"Low"
63,199,4,1,1,4,"Low"
417,608,1,1,1,4,"High"
353,126,2,1,2,3,"High"
431,149,1,1,4,2,"High"
115,5,11,1,31,1,"Medium"
333,314,2,1,1,2,"Medium"
402,355,1,1,30,2,"High"
52,322,1,1,2,4,"Low"
63,7,5,2,30,4,"Low"
206,120,1,2,2,4,"Medium"
100,296,4,2,2,9,"Medium"
412,80,2,1,2,2,"High"
188,249,1,2,2,4,"Medium"
428,208,1,1,2,5,"High"
429,164,1,1,2,4,"High"
431,311,2,1,1,2,"High"
415,397,2,1,1,4,"High"
58,259,2,1,2,2,"Low"
366,196,3,1,1,2,"High"
56,237,4,2,2,8,"Low"
93,218,4,2,2,9,"Medium"
394,311,2,1,1,2,"High"
47,328,4,1,2,2,"Low"
80,210,2,2,2,5,"Medium"
412,50,4,1,10,2,"High"
357,241,3,1,2,3,"High"
394,238,2,1,1,2,"High"
48,3,1,3,31,6,"Low"
401,4,2,2,30,4,"High"
395,80,1,1,1,2,"High"
189,32,3,2,4,5,"Medium"
408,226,5,1,1,2,"High"
378,225,3,1,4,2,"High"
64,224,2,2,2,4,"Medium"
52,141,1,1,2,3,"Low"
378,124,3,1,1,2,"High"
423,18,2,1,2,2,"High"
73,375,2,2,2,5,"Medium"
404,58,4,1,1,2,"High"
361,159,3,1,1,2,"High"
28,340,18,1,1,3,"Low"
430,82,3,1,31,4,"High"
430,107,1,1,2,4,"High"
412,20,4,2,30,4,"High"
387,55,1,1,3,4,"High"
329,73,2,1,1,2,"Medium"
412,363,1,1,2,2,"High"
48,139,4,2,2,2,"Low"
16,113,3,1,2,2,"Low"
77,6,3,1,2,2,"Medium"
73,28,1,3,4,6,"Medium"
387,229,4,1,1,2,"High"
72,778,7,1,1,4,"Medium"
30,370,2,2,2,5,"Low"
42,88,6,1,3,4,"Low"
28,31,3,2,30,4,"Low"
395,22,2,2,2,4,"High"
67,138,1,2,3,4,"Medium"
169,2,3,2,1,6,"Medium"
353,8,32,2,30,4,"High"
24,172,1,1,2,2,"Low"
36,197,8,1,2,2,"Low"
24,101,14,1,1,2,"Low"
86,154,2,2,4,5,"Medium"
402,187,2,1,2,2,"High"
88,64,2,1,1,2,"Medium"
43,27,2,2,31,4,"Low"
37,135,1,2,2,6,"Low"
403,313,1,1,2,2,"High"
81,6,18,2,30,4,"Medium"
333,14,32,1,30,4,"Medium"
290,71,7,5,3,10,"Medium"
428,27,32,1,30,3,"High"
378,77,1,1,2,2,"High"
276,87,5,6,3,16,"Medium"
35,413,1,1,2,2,"Low"
404,210,1,1,2,2,"High"
40,43,5,1,5,2,"Low"
